"movement","measured"
"70.5","+104.370"
"71.0","+103.875"
"71.5","+103.365"
"72.0","+102.840"
"72.5","+102.325"
"73.0","+101.845"
"73.5","+101.325"
"74.0","+100.815"
"74.5","+100.320"
"75.0","+99.855"
"75.5","+99.350"
"76.0","+98.845"
"76.5","+98.345"
"77.0","+97.850"
"77.5","+97.340"
"78.0","+96.835"
"78.5","+96.335"
"79.0","+95.835"
"79.5","+95.320"
"80.0","+94.800"
"80.5","+94.325"
"81.0","+93.865"
"81.5","+93.360"
"82.0","+92.840"
"82.5","+92.340"
"83.0","+91.840"
"83.5","+91.335"
"84.0","+90.825"
"84.5","+90.325"
"85.0","+89.830"
"85.5","+89.330"
"86.0","+88.820"
"86.5","+88.320"
"87.0","+87.820"
"87.5","+87.315"
"88.0","+86.805"
"88.5","+86.305"
"89.0","+85.805"
"89.5","+85.295"
"90.0","+84.790"
"90.5","+84.285"
"91.0","+83.790"
"91.5","+83.280"
"92.0","+82.770"
"92.5","+82.275"
"93.0","+81.775"
"93.5","+81.275"
"94.0","+80.760"
"94.5","+80.270"
"95.0","+79.770"
"95.5","+79.260"
"96.0","+78.745"
"96.5","+78.245"
"97.0","+77.745"
"97.5","+77.250"
"98.0","+76.735"
"98.5","+76.235"
"99.0","+75.740"
"99.5","+75.225"
"100.0","+74.720"
"100.5","+74.215"
"101.0","+73.720"
"101.5","+73.220"
"102.0","+72.705"
"102.5","+72.205"
"103.0","+71.710"
"103.5","+71.200"
"104.0","+70.695"
"104.5","+70.195"
"105.0","+69.700"
"105.5","+69.195"
"106.0","+68.680"
"106.5","+68.180"
"107.0","+67.680"
"107.5","+67.175"
"108.0","+66.660"
"108.5","+66.160"
"109.0","+65.670"
"109.5","+65.160"
"110.0","+64.645"
"110.5","+64.150"
"111.0","+63.645"
"111.5","+63.135"
"112.0","+62.620"
"112.5","+62.120"
"113.0","+61.630"
"113.5","+61.125"
"114.0","+60.615"
"114.5","+60.120"
"115.0","+59.620"
"115.5","+59.115"
"116.0","+58.605"
"116.5","+58.105"
"117.0","+57.615"
"117.5","+57.105"
"118.0","+56.585"
"118.5","+56.085"
"119.0","+55.595"
"119.5","+55.095"
"120.0","+54.590"
"120.5","+54.100"
"121.0","+53.595"
"121.5","+53.090"
"122.0","+52.575"
"122.5","+52.080"
"123.0","+51.585"
"123.5","+51.080"
"124.0","+50.570"
