"movement","measured"
"0.1","+109.250"
"0.1","+109.240"
"0.1","+109.155"
"0.1","+109.060"
"0.1","+108.970"
"0.1","+108.870"
"0.1","+108.770"
"0.1","+108.660"
"0.1","+108.555"
"0.1","+108.455"
"0.1","+108.355"
"0.1","+108.250"
"0.1","+108.155"
"0.1","+108.055"
"0.1","+107.960"
"0.1","+107.850"
"0.1","+107.750"
"0.1","+107.650"
"0.1","+107.555"
"0.1","+107.445"
"0.1","+107.350"
"0.1","+107.250"
"0.1","+107.150"
"0.1","+107.045"
"0.1","+106.945"
"0.1","+106.850"
"0.1","+106.755"
"0.1","+106.650"
"0.1","+106.550"
"0.1","+106.450"
"0.1","+106.355"
"0.1","+106.245"
"0.1","+106.150"
"0.1","+106.050"
"0.1","+105.955"
"0.1","+105.850"
"0.1","+105.750"
"0.1","+105.655"
"0.1","+105.555"
"0.1","+105.450"
"0.1","+105.350"
"0.1","+105.250"
"0.1","+105.150"
"0.1","+105.045"
"0.1","+104.945"
"0.1","+104.850"
"0.1","+104.755"
"0.1","+104.645"
"0.1","+104.550"
"0.1","+104.455"
"0.1","+104.355"
"0.1","+104.250"
"0.1","+104.155"
"0.1","+104.055"
"0.1","+103.955"
"0.1","+103.850"
"0.1","+103.750"
"0.1","+103.660"
"0.1","+103.560"
"0.1","+103.455"
"0.1","+103.355"
"0.1","+103.255"
"0.1","+103.155"
"0.1","+103.045"
"0.1","+102.945"
"0.1","+102.845"
"0.1","+102.750"
"0.1","+102.645"
"0.1","+102.545"
"0.1","+102.450"
"0.1","+102.350"
"0.1","+102.245"
"0.1","+102.150"
"0.1","+102.050"
"0.1","+101.950"
"0.1","+101.845"
"0.1","+101.750"
"0.1","+101.650"
"0.1","+101.550"
"0.1","+101.450"
"0.1","+101.350"
"0.1","+101.250"
"0.1","+101.155"
"0.1","+101.045"
"0.1","+100.945"
"0.1","+100.850"
"0.1","+100.745"
"0.1","+100.640"
"0.1","+100.545"
"0.1","+100.445"
"0.1","+100.345"
"0.1","+100.245"
"0.1","+100.150"
"0.1","+100.055"
"0.1","+99.970"
"0.1","+99.860"
"0.1","+99.760"
"0.1","+99.665"
"0.1","+99.565"
"0.1","+99.460"
"0.1","+99.360"
"0.1","+99.265"
"0.1","+99.170"
"0.1","+99.065"
"0.1","+98.960"
"0.1","+98.865"
"0.1","+98.765"
"0.1","+98.660"
"0.1","+98.560"
"0.1","+98.460"
"0.1","+98.360"
"0.1","+98.255"
"0.1","+98.155"
"0.1","+98.060"
"0.1","+97.965"
"0.1","+97.860"
"0.1","+97.760"
"0.1","+97.660"
"0.1","+97.560"
"0.1","+97.455"
"0.1","+97.355"
"0.1","+97.255"
"0.1","+97.155"
"0.1","+97.050"
"0.1","+96.950"
"0.1","+96.855"
"0.1","+96.750"
"0.1","+96.645"
"0.1","+96.545"
"0.1","+96.450"
"0.1","+96.350"
"0.1","+96.245"
"0.1","+96.150"
"0.1","+96.050"
"0.1","+95.950"
"0.1","+95.845"
"0.1","+95.750"
"0.1","+95.650"
"0.1","+95.555"
"0.1","+95.450"
"0.1","+95.350"
"0.1","+95.250"
"0.1","+95.150"
"0.1","+95.040"
"0.1","+94.940"
"0.1","+94.845"
"0.1","+94.745"
"0.1","+94.645"
"0.1","+94.545"
"0.1","+94.445"
"0.1","+94.345"
"0.1","+94.240"
"0.1","+94.140"
"0.1","+94.045"
"0.1","+93.945"
