"movement","measured"
"1","+108.655"
"1","+107.640"
"1","+106.635"
"1","+105.630"
"1","+104.635"
"1","+103.630"
"1","+102.630"
"1","+101.625"
"1","+100.625"
"1","+99.620"
"1","+98.620"
"1","+97.615"
"1","+96.615"
"1","+95.610"
"1","+94.610"
"1","+93.605"
"1","+92.610"
"1","+91.610"
"1","+90.640"
"1","+89.630"
"1","+88.635"
"1","+87.615"
"1","+86.615"
"1","+85.610"
"1","+84.600"
"1","+83.590"
"1","+82.590"
"1","+81.580"
"1","+80.590"
"1","+79.585"
"1","+78.570"
"1","+77.565"
"1","+76.570"
"1","+75.555"
"1","+74.555"
